attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Numbing Water,Standard,28/181,Pokémon,10,Water,Basic,,Team Up,50,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Staryu,Common,,1,Unlimited;Reverse Holo,Grass×2
Enter the Dragon,Standard,29/181,Pokémon,0,Water,Basic,,Team Up,30,sui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Magikarp,Common,,1,Unlimited;Reverse Holo,Lightning×2
Amnesia;Swim,Standard,27/181,Pokémon,20;90,Water,Stage 1,Psyduck,Team Up,110,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Golduck,Uncommon,,1,Unlimited;Reverse Holo,Grass×2
Hydro Tackle,Standard,25/181,Pokémon,150,Water,Stage 2,Wartortle,Team Up,160,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Blastoise,Rare,,3,Unlimited;Reverse Holo;Cracked Ice Holo,Grass×2
Headache,Standard,26/181,Pokémon,10,Water,Basic,,Team Up,60,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Psyduck,Common,,2,Unlimited;Reverse Holo,Grass×2
Tackle;Rain Splash,Standard,23/181,Pokémon,10;20,Water,Basic,,Team Up,70,HYOGONOSUKE,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Squirtle,Common,,1,Unlimited;Reverse Holo,Grass×2
Roar;Claw Slash,Standard,21/181,Pokémon,0;60,Fire,Stage 1,Litten,Team Up,90,Sanosuke Sakuma,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Torracat,Uncommon,,2,Unlimited;Reverse Holo,Water×2
Water Gun,Standard,22/181,Pokémon,30,Water,Basic,,Team Up,50,sui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Squirtle,Common,,1,Unlimited;Reverse Holo,Grass×2
Top Burner;Fire Spin,Standard,19/181,Pokémon,0;180,Fire,Basic,,Team Up,120,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Moltres,Rare Holo,Fighting-20,2,Unlimited;Reverse Holo;Team Up Stamp,Lightning×2
Fasten Claws,Standard,20/181,Pokémon,10+,Fire,Basic,,Team Up,60,sui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Litten,Common,,1,Unlimited;Reverse Holo,Water×2
Searing Flame;Agility,Standard,18/181,Pokémon,20;60,Fire,Stage 1,Ponyta,Team Up,100,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rapidash,Uncommon,,1,Unlimited;Reverse Holo,Water×2
Distilled Blast;Hyper Beam,Standard,30/181,Pokémon,30+;100,Water,Stage 1,Magikarp,Team Up,150,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gyarados,Rare Holo,,4,Unlimited;Reverse Holo,Lightning×2
Tackle;Waterfall,Standard,24/181,Pokémon,30;70,Water,Stage 1,Squirtle,Team Up,90,Misa Tsutsui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Wartortle,Uncommon,,2,Unlimited;Reverse Holo,Grass×2
Flame Tail,Standard,16/181,Pokémon,90,Fire,Stage 1,Vulpix,Team Up,100,You Iribi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ninetales,Rare,,1,Unlimited;Reverse Holo,Water×2
Tail Whip,Standard,15/181,Pokémon,0,Fire,Basic,,Team Up,60,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Vulpix,Common,,1,Unlimited;Reverse Holo,Water×2
Continuous Blaze Ball,Standard,14/181,Pokémon,30+,Fire,Stage 2,Charmeleon,Team Up,150,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charizard,Rare,,2,Unlimited;Reverse Holo;Cracked Ice Holo,Water×2
Fire Fang,Standard,13/181,Pokémon,30,Fire,Stage 1,Charmander,Team Up,90,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charmeleon,Uncommon,,2,Unlimited;Reverse Holo,Water×2
Ember,Standard,12/181,Pokémon,30,Fire,Basic,,Team Up,70,Atsuko Nishida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charmander,Common,,1,Unlimited;Reverse Holo,Water×2
Live Coal;Stomp,Standard,17/181,Pokémon,10;10+,Fire,Basic,,Team Up,70,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ponyta,Common,,1,Unlimited;Reverse Holo,Water×2
Scratch;Reprisal,Standard,11/181,Pokémon,10;20×,Fire,Basic,,Team Up,50,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charmander,Common,,1,Unlimited;Reverse Holo,Water×2
Flower Storm,Standard,10/181,Pokémon ◇,30×,Grass,Basic,,Team Up,80,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shaymin ◇,Rare Prism Star,,0,Unlimited,Fire×2
Grip and Squeeze;Guillotine Hug,Standard,9/181,Pokémon,30;0,Grass,Basic,,Team Up,120,Eri Yamaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pinsir,Rare,,3,Unlimited;Reverse Holo,Fire×2
Bullet Seed,Standard,8/181,Pokémon,10×,Grass,Basic,,Team Up,50,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Exeggcute,Common,,1,Unlimited;Reverse Holo,Fire×2
Mysterious Powder,Standard,7/181,Pokémon,30,Grass,Stage 1,Paras,Team Up,100,Satoshi Shirai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Parasect,Rare,,2,Unlimited;Reverse Holo,Fire×2
Vengeance;Slash Back-GX,Standard,207/214,"Full Art Pokémon,Pokémon-GX",10+;150,Colorless,Stage 1,Meowth,Unbroken Bonds,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Persian-GX,Rare Ultra,,2,Unlimited,Fighting×2
Energy Blow;Toy Box-GX,Standard,206/214,"Full Art Pokémon,Pokémon-GX",10+;0,Fairy,Stage 1,Cottonee,Unbroken Bonds,190,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Whimsicott-GX,Rare Ultra,Darkness-20,1,Unlimited,Metal×2
Fairy Song;Kaleidostorm;Magical Miracle-GX,Standard,205/214,"Full Art Pokémon,Pokémon TAG TEAM",0;150;200,Fairy,Basic,,Unbroken Bonds,260,Atsuko Nishida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gardevoir & Sylveon-GX,Rare Ultra,Darkness-20,2,Unlimited,Metal×2
Fairy Song;Kaleidostorm;Magical Miracle-GX,Standard,204/214,"Full Art Pokémon,Pokémon TAG TEAM",0;150;200,Fairy,Basic,,Unbroken Bonds,260,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gardevoir & Sylveon-GX,Rare Ultra,Darkness-20,2,Unlimited,Metal×2
Steel Fist;Heavy Impact;Full Metal Wall-GX,Standard,203/214,"Full Art Pokémon,Pokémon TAG TEAM",50;150;0,Metal,Basic,,Unbroken Bonds,260,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lucario & Melmetal-GX,Rare Ultra,Psychic-20,3,Unlimited,Fire×2
Feather Storm;Unfair-GX,Standard,202/214,"Full Art Pokémon,Pokémon-GX",90;0,Darkness,Stage 1,Murkrow,Unbroken Bonds,210,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Honchkrow-GX,Rare Ultra,Fighting-20,2,Unlimited,Lightning×2
Dark Pulse;Dark Union-GX,Standard,201/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;0,Darkness,Basic,,Unbroken Bonds,250,kodama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Greninja & Zoroark-GX,Rare Ultra,Psychic-20,2,Unlimited,Fighting×2
Dark Pulse;Dark Union-GX,Standard,200/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;0,Darkness,Basic,,Unbroken Bonds,250,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Greninja & Zoroark-GX,Rare Ultra,Psychic-20,2,Unlimited,Fighting×2
Revenge;Hundred-Blows Impact;Acme of Heroism-GX,Standard,199/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;160;200,Fighting,Basic,,Unbroken Bonds,270,You Iribi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Marshadow & Machamp-GX,Rare Ultra,,3,Unlimited,Psychic×2
Revenge;Hundred Blows Impact;Acme of Heroism-GX,Standard,198/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;160;200,Fighting,Basic,,Unbroken Bonds,270,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Marshadow & Machamp-GX,Rare Ultra,,3,Unlimited,Psychic×2
Severe Poison;Poison Absorption;Nasty Goo Mix-GX,Standard,197/214,"Full Art Pokémon,Pokémon TAG TEAM",0;120;0,Psychic,Basic,,Unbroken Bonds,270,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Muk & Alolan Muk-GX,Rare Ultra,,4,Unlimited,Psychic×2
Severe Poison;Poison Absorption;Nasty Goo Mix-GX,Standard,196/214,"Full Art Pokémon,Pokémon TAG TEAM",0;120;0,Psychic,Basic,,Unbroken Bonds,270,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Muk & Alolan Muk-GX,Rare Ultra,,4,Unlimited,Psychic×2
Static Shock;Tingly Return-GX,Standard,195a/214,"Full Art Pokémon,Pokémon-GX",50;50,Lightning,Basic,,Unbroken Bonds,160,kanahei,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dedenne-GX,Rare Ultra,Metal-20,1,Yellow A Alternate,Fighting×2
Static Shock;Tingly Return-GX,Standard,195/214,"Full Art Pokémon,Pokémon-GX",50;50,Lightning,Basic,,Unbroken Bonds,160,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dedenne-GX,Rare Ultra,Metal-20,1,Unlimited,Fighting×2
Outrage;Flare Strike;Double Blaze-GX,Standard,194/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;230;200+,Fire,Basic,,Unbroken Bonds,270,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Reshiram & Charizard-GX,Rare Ultra,,3,Unlimited,Water×2
Shinobi Mastery;Ten-Card Return-GX,Standard,193/214,"Full Art Pokémon,Pokémon-GX",110+;60,Grass,Stage 1,Venonat,Unbroken Bonds,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Venomoth-GX,Rare Ultra,,1,Unlimited,Fire×2
Jet Punch;Elegant Sole;Beast Game-GX,Standard,192/214,"Full Art Pokémon,Pokémon TAG TEAM",30;190;50,Grass,Basic,,Unbroken Bonds,260,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pheromosa & Buzzwole-GX,Rare Ultra,,2,Unlimited,Fire×2
Jet Punch;Elegant Sole;Beast Game-GX,Standard,191/214,"Full Art Pokémon,Pokémon TAG TEAM",30;190;50,Grass,Basic,,Unbroken Bonds,260,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pheromosa & Buzzwole-GX,Rare Ultra,,2,Unlimited,Fire×2
,Standard,190/214,Special Energy,,,,,Unbroken Bonds,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Triple Acceleration Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,189a/214,Supporter,,,,,Unbroken Bonds,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Welder,Uncommon,,,"Yellow A Alternate, Regional Championships;Yellow A Alternate, Regional Championships (Staff)",
,Standard,189/214,Supporter,,,,,Unbroken Bonds,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Welder,Uncommon,,,Unlimited;Reverse Holo,
,Standard,188/214,Supporter,,,,,Unbroken Bonds,,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ultra Forest Kartenvoy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,187/214,Item,,,,,Unbroken Bonds,,Ryo Ueda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Surprise Box,Uncommon,,,Unlimited;Reverse Holo,
Find a Friend,Standard,1/18,Pokémon,0,Grass,Basic,,Detective Pikachu,60,MPC Film,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bulbasaur,Common,,1,Unlimited,Fire×2
,Standard,186/214,"Item,Pokémon Tool",,,,,Unbroken Bonds,,Ryo Ueda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Stealthy Hood,Uncommon,,,Unlimited;Reverse Holo,
,Standard,234/214,Special Energy,,,,,Unbroken Bonds,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Triple Acceleration Energy,Rare Secret,,,Unlimited,
,Standard,233/214,"Full Art Trainer,Item",,,,,Unbroken Bonds,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokégear 3.0,Rare Secret,,,Unlimited,
,Standard,229/214,"Full Art Trainer,Item",,,,,Unbroken Bonds,,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Beast Bringer,Rare Secret,,,Unlimited,
Power Cyclone;Discovery-GX,Standard,228/214,"Full Art Pokémon,Pokémon-GX",110;0,Colorless,Basic,,Unbroken Bonds,200,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Celesteela-GX,Rare Rainbow,Fighting-20,4,Unlimited,Lightning×2
Steel Fist;Heavy Impact;Full Metal Wall-GX,Standard,224/214,"Full Art Pokémon,Pokémon TAG TEAM",50;150;0,Metal,Basic,,Unbroken Bonds,260,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lucario & Melmetal-GX,Rare Rainbow,Psychic-20,3,Unlimited,Fire×2
Dark Pulse;Dark Union-GX,Standard,222/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;0,Darkness,Basic,,Unbroken Bonds,250,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Greninja & Zoroark-GX,Rare Rainbow,Psychic-20,2,Unlimited,Fighting×2
Feather Storm;Unfair-GX,Standard,223/214,"Full Art Pokémon,Pokémon-GX",90;0,Darkness,Stage 1,Murkrow,Unbroken Bonds,210,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Honchkrow-GX,Rare Rainbow,Fighting-20,2,Unlimited,Lightning×2
Revenge;Hundred-Blows Impact;Acme of Heroism-GX,Standard,221/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;160;200,Fighting,Basic,,Unbroken Bonds,270,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Marshadow & Machamp-GX,Rare Rainbow,,3,Unlimited,Psychic×2
Severe Poison;Poison Absorption;Nasty Goo Mix-GX,Standard,220/214,"Full Art Pokémon,Pokémon TAG TEAM",0;120;0,Psychic,Basic,,Unbroken Bonds,270,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Muk & Alolan Muk-GX,Rare Rainbow,,4,Unlimited,Psychic×2
Energy Blow;Toy Box-GX,Standard,226/214,"Full Art Pokémon,Pokémon-GX",10+;0,Fairy,Stage 1,Cottonee,Unbroken Bonds,190,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Whimsicott-GX,Rare Rainbow,Darkness-20,1,Unlimited,Metal×2
Fairy Song;Kaleidostorm;Magical Miracle-GX,Standard,225/214,"Full Art Pokémon,Pokémon TAG TEAM",0;150;200,Fairy,Basic,,Unbroken Bonds,260,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gardevoir & Sylveon-GX,Rare Rainbow,Darkness-20,2,Unlimited,Metal×2
Vengeance;Slash Back-GX,Standard,227/214,"Full Art Pokémon,Pokémon-GX",10+;150,Colorless,Stage 1,Meowth,Unbroken Bonds,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Persian-GX,Rare Rainbow,,2,Unlimited,Fighting×2
Static Shock;Tingly Return-GX,Standard,219/214,"Full Art Pokémon,Pokémon-GX",50;50,Lightning,Basic,,Unbroken Bonds,160,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dedenne-GX,Rare Rainbow,Metal-20,1,Unlimited,Fighting×2
Jet Punch;Elegant Sole;Beast Game-GX,Standard,215/214,"Full Art Pokémon,Pokémon TAG TEAM",30;190;50,Grass,Basic,,Unbroken Bonds,260,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pheromosa & Buzzwole-GX,Rare Rainbow,,2,Unlimited,Fire×2
Outrage;Flare Strike;Double Blaze-GX,Standard,217/214,"Full Art Pokémon,Pokémon TAG TEAM",30+;230;200+,Fire,Basic,,Unbroken Bonds,270,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Reshiram & Charizard-GX,Rare Rainbow,,3,Unlimited,Water×2
Rocket Splash;Giant Geyser-GX,Standard,218/214,"Full Art Pokémon,Pokémon-GX",60×;0,Water,Stage 2,Wartortle,Unbroken Bonds,240,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Blastoise-GX,Rare Rainbow,,3,Unlimited,Grass×2
,Standard,214/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Welder,Rare Ultra,,,Unlimited,
,Standard,211/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Koga's Trap,Rare Ultra,,,Unlimited,
,Standard,210/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Janine,Rare Ultra,,,Unlimited,
,Standard,209/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Green's Exploration,Rare Ultra,,,Unlimited,
Power Cyclone;Discovery-GX,Standard,208/214,"Full Art Pokémon,Pokémon-GX",110;0,Colorless,Basic,,Unbroken Bonds,200,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Celesteela-GX,Rare Ultra,Fighting-20,4,Unlimited,Lightning×2
,Standard,212/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Molayne,Rare Ultra,,,Unlimited,
Shinobi Mastery;Ten-Card Return-GX,Standard,216/214,"Full Art Pokémon,Pokémon-GX",110+;60,Grass,Stage 1,Venonat,Unbroken Bonds,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Venomoth-GX,Rare Rainbow,,1,Unlimited,Fire×2
,Standard,213/214,"Full Art Trainer,Supporter",,,,,Unbroken Bonds,,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Red's Challenge,Rare Ultra,,,Unlimited,
,Standard,183/214,Stadium,,,,,Unbroken Bonds,,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Power Plant,Uncommon,,,Unlimited;Reverse Holo,
,Standard,182b/214,Item,,,,,Unbroken Bonds,,OOYAMA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokégear 3.0,Uncommon,,,Yellow A Alternate,
,Standard,182a/214,Item,,,,,Unbroken Bonds,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokégear 3.0,Uncommon,,,"Yellow A Alternate, League Cup;Yellow A Alternate, League Cup (Staff)",
,Standard,182/214,Item,,,,,Unbroken Bonds,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokégear 3.0,Uncommon,,,Unlimited;Reverse Holo,
,Standard,181/214,Supporter,,,,,Unbroken Bonds,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Molayne,Uncommon,,,Unlimited;Reverse Holo,
,Standard,180/214,"Item,Pokémon Tool",,,,,Unbroken Bonds,,Studio Bora Inc.,,Metal Core Barrier,Uncommon,,,,
