name,expansion
Electivire FB LV.X,Supreme Victors
Solrock,Darkness Ablaze
Claydol,Supreme Victors
Electivire,Triumphant
Clefable,Diamond & Pearl
Clefable,EX Unseen Forces
Rapidash,Wizards Black Star Promos
Clefable,Furious Fists
Clefable,Generations
Electabuzz δ,EX Dragon Frontiers
Rapidash,Stormfront
Slowking,Great Encounters
Electabuzz,Platinum
Rapidash,Legendary Collection
Electabuzz,Neo Genesis
Electabuzz,Lost Thunder
Rapidash,Jungle
Rapidash,EX Delta Species
Slowking,HeartGold & SoulSilver
Corphish,EX Holon Phantoms
Snubbull,Darkness Ablaze
Slowking,Call of Legends
Pyukumuku,Sun & Moon
Pyukumuku,Unified Minds
Snorlax,Jungle
Snorlax,EX FireRed & LeafGreen
Snorlax,Base Set 2
Snivy,Legendary Treasures
Cobalion,Steam Siege
Dusknoir,Burning Shadows
Sneasel,Unified Minds
Quilava,BREAKthrough
Slurpuff,XY
Quilava,Expedition Base Set
Combee,Plasma Storm
Quilava,Neo Genesis
Quilava δ,EX Dragon Frontiers
Comfey,Guardians Rising
Qwilfish,HeartGold & SoulSilver
Dusclops,Diamond & Pearl
Dusclops,Burning Shadows
Sneasel,Celestial Storm
Smeargle,BREAKthrough
Combusken,Primal Clash
Sneasel,Aquapolis
Combusken,EX Crystal Guardians
Raichu,DP Black Star Promos
Raichu,Fossil
Snorlax,Legendary Collection
Snorlax,Plasma Storm
Corphish,Crimson Invasion
Snorlax,Skyridge
Psyduck,Platinum
Clefairy,Hidden Fates
Slugma,EX Team Rocket Returns
Raikou,SM Black Star Promos
Raikou,Lost Thunder
Eelektrik,Unified Minds
Eelektrik,Plasma Blast
Slugma,Neo Destiny
Pupitar,Aquapolis
Slugma,Primal Clash
Slugma,Vivid Voltage
Dwebble,Dark Explorers
Pupitar,Lost Thunder
Pupitar,Team Up
Duskull,Stormfront
Duskull,EX Power Keepers
Durant,Sword & Shield
Raichu GL,Rising Rivals
Dusknoir FB,Supreme Victors
Snover,Mysterious Treasures
Snover,BREAKthrough
Cloyster,Fossil
Cloyster,Generations
Cloyster,XY
Snorlax,Wizards Black Star Promos
Prinplup,Dark Explorers
Prinplup,BREAKthrough
Chatot,Rebel Clash
Cherubi,Ultra Prism
Chespin,BREAKthrough
Espeon,Call of Legends
Croagunk,Arceus
Ponyta,Aquapolis
Ponyta,Base Set
Espeon,Box Toppers (e-Card Series)
Ponyta,Diamond & Pearl
Skorupi,Furious Fists
Chespin,XY Black Star Promos
Ponyta,Evolutions
Espeon,Aquapolis
Ponyta,Legendary Collection
Chikorita,Call of Legends
Regice ☆,EX Legend Maker
Ponyta,Team Rocket
Skorupi,Triumphant
Skorupi,Ultra Prism
Dratini δ,EX Delta Species
Erika's Vileplume,Gym Heroes
Skuntank,Diamond & Pearl
Skuntank,Undaunted
Poochyena,Phantom Forces
Erika's Gloom,Gym Heroes
Erika's Exeggutor,Gym Heroes
Erika's Dragonair,Gym Heroes
Spoink,Fates Collide
Regigigas FB,Supreme Victors
Erika's Clefable,Gym Heroes
Cherrim,Unleashed
Chatot,Supreme Victors
Cherrim,Arceus
Squirtle,EX Crystal Guardians
Politoed,Unleashed
Espeon ☆,POP Series 5
Espeon δ,EX Delta Species
Poliwag,Evolutions
Espeon,Undaunted
Skitty,EX Ruby & Sapphire
Espeon,Neo Discovery
Cherrim,Supreme Victors
Poliwag,Sun & Moon
Skitty,EX Sandstorm
Skitty,EX Trainer Kit (Latias)
Poliwhirl,Base Set
Poliwhirl,Base Set 2
Spritzee,Flashfire
Poliwhirl,EX Unseen Forces
Poliwhirl,Expedition Base Set
Poliwhirl,Neo Discovery
Croagunk,Sword & Shield
Poliwhirl,Skyridge
Cherrim,Ultra Prism
Poliwhirl,Unleashed
Croagunk,POP Series 9
Rayquaza ☆,EX Deoxys
Erika's Bellsprout,Gym Heroes
Primeape δ,EX Holon Phantoms
Emolga,Next Destinies
Emolga,Crimson Invasion
Slowbro,Aquapolis
Chinchou,McDonald's Collection 2018 (French)
Raticate,Plasma Freeze
Spheal,Cosmic Eclipse
Elgyem,Plasma Storm
Electrode ex,EX FireRed & LeafGreen
Electrode G,Rising Rivals
Chinchou,Sun & Moon
Spewpa,BREAKthrough
Chinchou,Sword & Shield
Crabrawler,Unbroken Bonds
Special Delivery Pikachu,SWSH Black Star Promos
Cinccino,Emerging Powers
Electrode,EX Hidden Legends
Spearow,Roaring Skies
Electrode,Aquapolis
Spearow,Majestic Dawn
Drowzee,Unbroken Bonds
Slowbro,EX FireRed & LeafGreen
Clauncher,Furious Fists
Claydol,Ancient Origins
Primeape,Steam Siege
Slowbro,HeartGold & SoulSilver
Primeape,Unleashed
Raticate,Undaunted
Rattata,Arceus
Spiritomb,Phantom Forces
Spheal,Primal Clash
Cranidos,Mysterious Treasures
Cranidos,DP Black Star Promos
Rayquaza,POP Series 1
Rattata,Unbroken Bonds
Porygon,EX Delta Species
Drifblim,Steam Siege
Spinda,Supreme Victors
Spinda,Sun & Moon
Chimchar,DP Black Star Promos
Chimchar,Diamond & Pearl
Spinda,EX Legend Maker
Chimchar,POP Series 6
Spinda,Boundaries Crossed
Chimchar,POP Series 8
Rattata,Plasma Freeze
Chimchar,Steam Siege
Porygon2,Ancient Origins
Porygon2,EX Delta Species
Porygon2,Great Encounters
Porygon2,Plasma Blast
Empoleon BREAK,XY Black Star Promos
Porygon2,Unbroken Bonds
Chimecho,Vivid Voltage
Chimecho δ,POP Series 4
Drilbur,Dark Explorers
Galarian Farfetch'd,Rebel Clash
Celebi ex,POP Series 2
Doduo,Mysterious Treasures
Teddiursa,BREAKthrough
Golbat,Skyridge
Seviper,Hidden Fates
Golbat,Mysterious Treasures
Golbat,Fossil
Seviper,SM Black Star Promos
Scizor,Box Toppers (e-Card Series)
Breloom,Unified Minds
Scizor,Aquapolis
Teddiursa,Mysterious Treasures
Dark Vileplume,Team Rocket
Dark Venusaur,Best of Game
Dark Vaporeon,Team Rocket
Gloom δ,EX Holon Phantoms
Delibird,Lost Thunder
Gloom,Undaunted
Gloom,Unbroken Bonds
Dark Vaporeon,Legendary Collection
Gloom,Legends Awakened
Sandygast,Sun & Moon
Gloom,Expedition Base Set
Dark Slowking,Neo Destiny
Gloom,Burning Shadows
Gloom,Ancient Origins
Shaymin,Boundaries Crossed
Nickit,Champion's Path
Brock's Lickitung,Gym Heroes
Scizor,Wizards Black Star Promos
Goldeen,DP Trainer Kit (Manaphy)
Nidoking,Base Set 2
Braixen,Fates Collide
Throh,Emerging Powers
Delcatty,XY
Delcatty,XY Trainer Kit (Latios)
Golett,Ancient Origins
Throh,Cosmic Eclipse
Servine,Black & White
Delibird,Boundaries Crossed
Munna,Sword & Shield
Tepig,McDonald's Collection 2011
Tepig,Legendary Treasures
Tepig,Black & White
Tepig,BW Black Star Promos
Tentacruel,Primal Clash
Goldeen,Diamond & Pearl
Murkrow,Phantom Forces
Golduck δ,EX Holon Phantoms
Golduck,Triumphant
Murkrow,Undaunted
Braixen,XY Black Star Promos
Musharna,Phantom Forces
Servine,McDonald's Collection 2012
Seviper,Burning Shadows
Golduck,EX Sandstorm
Golduck,Aquapolis
Seviper,EX Emerald
Seviper,Great Encounters
Nidoking,Base Set
Nidoking,Legendary Collection
Munchlax,Diamond & Pearl
Shaymin-EX,Next Destinies
Nidorina,Mysterious Treasures
Sandile,Black & White
Nidorina,Skyridge
Nidorina,Team Up
Nidorino,EX FireRed & LeafGreen
Nidorino,Evolutions
Nidorino δ,EX Dragon Frontiers
Bronzong,Next Destinies
Shaymin ◇,Team Up
Shaymin-EX,Legendary Treasures
Bronzong,Triumphant
Bronzor,Arceus
Shaymin-EX,Roaring Skies
Nidorina,Jungle
Dark Scizor,Neo Destiny
Dark Rapidash,Team Rocket
Dark Raichu,Team Rocket
Ninetales,Expedition Base Set
Dark Raichu,Legendary Collection
Shelgon,Celestial Storm
Shelgon,Dragon Majesty
Salandit,Unified Minds
Shelgon,EX Deoxys
Team Aqua's Walrein,Double Crisis
Ninetales,Unleashed
Buizel,Great Encounters
Nidorina,Legendary Collection
Nidorina,Base Set 2
Brock's Ninetales,Gym Challenge
Gligar,Unbroken Bonds
Brock's Onix,Gym Heroes
Deoxys,EX Emerald
Brock's Sandslash,Gym Challenge
Sandslash,HeartGold & SoulSilver
Deoxys,Roaring Skies
Shaymin,Lost Thunder
Team Magma's Torkoal,EX Team Magma vs Team Aqua
Shaymin,Shining Legends
Nidoqueen,Skyridge
Nidoqueen δ,EX Dragon Frontiers
Sandshrew,Unbroken Bonds
Shaymin,Ultra Prism
Shaymin,Unleashed
Team Magma's Numel,Double Crisis
Sandshrew,Mysterious Treasures
Deoxys-EX,BW Black Star Promos
Deoxys-EX,Plasma Freeze
Glameow,Diamond & Pearl
Sandile,Unbroken Bonds
Sandile,Sun & Moon
Nidoran ♂,Base Set
Nidoran ♂,Base Set 2
Glameow,DP Black Star Promos
Sandile,McDonald's Collection 2011
Nidoran ♂,Legendary Collection
Nidoran ♂,Plasma Freeze
Golett,Furious Fists
Scorbunny,Sword & Shield
Ninetales δ,EX Dragon Frontiers
Misty's Tentacruel,Gym Heroes
Misty's Goldeen,Gym Heroes
Seel,EX FireRed & LeafGreen
Greninja & Zoroark-GX,Unbroken Bonds
Seadra,EX Team Rocket Returns
Totodile,Call of Legends
Misty's Poliwhirl,Gym Heroes
Misty's Poliwrath,Gym Heroes
Misty's Seadra,Gym Heroes
Misty's Seaking,Gym Heroes
Torracat,Shining Legends
Misty's Starmie,Gym Heroes
Graveler,Hidden Fates
Torkoal,Unleashed
Dartrix,Cosmic Eclipse
Graveler,Expedition Base Set
Dedenne,Forbidden Light
Torkoal,Legends Awakened
Torkoal,EX Legend Maker
Torchic,Nintendo Black Star Promos
Torchic,EX Ruby & Sapphire
Blaziken,Great Encounters
Monferno,Diamond & Pearl
Monferno,Majestic Dawn
Monferno,Steam Siege
Torchic,Dark Explorers
Torchic,Celestial Storm
Seadra,Neo Genesis
Grimer,Plasma Freeze
Seadra,Aquapolis
Mismagius,Call of Legends
Blaine's Growlithe,Gym Heroes
Toxicroak,Mysterious Treasures
Miracle Sphere α,Skyridge
Miracle Sphere β,Skyridge
Miracle Sphere γ,Skyridge
Darumaka,Emerging Powers
Toxicroak,Arceus
Blaine's Kangaskhan,Gym Heroes
Seedot,EX Sandstorm
Misdreavus,EX Legend Maker
Darumaka,Boundaries Crossed
Grookey,SWSH Black Star Promos
Mismagius,Crimson Invasion
Seadra,Primal Clash
Mismagius,Diamond & Pearl
Sealeo,EX Legend Maker
Blaine's Rapidash,Gym Challenge
Seaking,Unbroken Bonds
Blaine's Rhyhorn,Gym Challenge
Seaking,Jungle
Mismagius,Undaunted
Mismagius,Unleashed
Seaking,EX Ruby & Sapphire
Seaking,EX Deoxys
Seaking,Base Set 2
Seaking,Aquapolis
Blaziken FB,Supreme Victors
Togetic δ,EX Dragon Frontiers
Delcatty,Primal Clash
Delcatty,Boundaries Crossed
Mudbray,Guardians Rising
Mudbray,McDonald's Collection 2018 (French)
Mudbray,Sword & Shield
Togekiss C,Supreme Victors
Togekiss,Plasma Storm
Togedemaru,Sun & Moon
Mudkip,Great Encounters
Deino,Plasma Freeze
Togedemaru,SM Trainer Kit (Alolan Raichu)
Mudkip,Poké Card Creator Pack
Togedemaru,Cosmic Eclipse
Tirtouga,Plasma Blast
Scraggy,McDonald's Collection 2016
Deino,Dragons Exalted
Scraggy,Furious Fists
Muk,Fossil
Delcatty,EX Ruby & Sapphire
Muk,Legendary Collection
Delcatty,EX Sandstorm
Blitzle,Next Destinies
Delcatty,EX Trainer Kit (Latias)
Timburr,Dark Explorers
Timburr,Black & White
Timburr,BW Trainer Kit (Excadrill)
Scraggy,BW Black Star Promos
Delcatty,Legends Awakened
Deino,Legendary Treasures
Scyther,Base Set 2
Togetic,Undaunted
Gothorita,Furious Fists
Togetic,Unbroken Bonds
Togetic,Plasma Storm
Togetic,Neo Genesis
Togetic,EX Team Rocket Returns
Scyther,Stormfront
Mothim,Arceus
Blaziken ex,EX Team Magma vs Team Aqua
Mothim,POP Series 7
Mothim,Secret Wonders
Gothorita,Guardians Rising
Darmanitan,Dragon Majesty
Scyther,Platinum
Scyther,Jungle
Gorebyss,Celestial Storm
Gothorita,Darkness Ablaze
Gothitelle,Legendary Treasures
Scyther,Hidden Fates
Blissey,Neo Revelation
Mr. Mime,Primal Clash
Gothita,Darkness Ablaze
Seel,Neo Destiny
Mr. Mime E4,Rising Rivals
Gorebyss,Primal Clash
Gorebyss,Great Encounters
Gorebyss,EX Legend Maker
Seel,Unbroken Bonds
Buizel,POP Series 9
Raichu,Mysterious Treasures
Team Aqua's Seviper,Double Crisis
Tangela,Arceus
Shiinotic,Sun & Moon
Gardevoir-GX,Hidden Fates
Gardevoir-GX,Burning Shadows
Onix,Stormfront
Tangrowth,Call of Legends
Tangela,XY Trainer Kit (Latias)
Tangela,Unbroken Bonds
Tangela,Primal Clash
Tangela,Generations
Tangela,Evolutions
Tangela,EX Legend Maker
Ninjask,EX Deoxys
Oricorio,Guardians Rising
Swoobat,Legendary Treasures
Oricorio,SM Black Star Promos
Tangela,Aquapolis
Oshawott,BW Black Star Promos
Shiinotic,Ultra Prism
Butterfree,Southern Islands
Oshawott,Steam Siege
Shining Celebi,SM Black Star Promos
Butterfree FB,Supreme Victors
Pachirisu,Majestic Dawn
Cacturne,Crimson Invasion
Rufflet,Emerging Powers
Diglett,Base Set
Shiinotic,SM Black Star Promos
Diancie,Hidden Fates
Burmy Sandy Cloak,Majestic Dawn
Omastar δ,EX Holon Phantoms
Dark Houndoom,Neo Destiny
Tauros,Unleashed
Gengar,Stormfront
Sabrina's Haunter,Gym Heroes
Gengar,Legendary Collection
Gengar,Fossil
Sabrina's Gastly,Gym Challenge
Shieldon,Platinum
Sableye,XY
Tauros,Generations
Tauros,Expedition Base Set
Bunnelby,Phantom Forces
Omanyte,Fates Collide
Genesect,Unbroken Bonds
Omanyte,Team Up
Bunnelby,SM Trainer Kit (Alolan Ninetales)
Omastar,Arceus
Omastar,EX Power Keepers
Omastar,EX Sandstorm
Sableye,Vivid Voltage
Omastar,Fossil
Omastar,Legendary Collection
Dark Gyarados,Team Rocket
Diancie,Burning Shadows
Sableye,Legendary Treasures
Diglett,Base Set 2
Swoobat,Emerging Powers
Geodude,Supreme Victors
Paras,HeartGold & SoulSilver
Pansage,Next Destinies
Swellow δ,EX Dragon Frontiers
Pansear,Black & White
Galarian Zigzagoon,Sword & Shield
Pansear,Next Destinies
Swellow,POP Series 1
Pansear,XY
Swellow,Legends Awakened
Galarian Stunfisk,Sword & Shield
Swellow,EX Ruby & Sapphire
Shining Noctowl,Neo Destiny
Cascoon,Lost Thunder
Galarian Rapidash,Sword & Shield
Rufflet,BREAKthrough
Roselia,Ultra Prism
Paras,Sun & Moon
Parasect,BREAKthrough
Parasect,Base Set 2
Parasect,Generations
Parasect,Jungle
Parasect,Neo Revelation
Parasect,Team Up
Patrat,Black & White
Patrat,Emerging Powers
Doduo,BREAKthrough
Galarian Mr. Mime,Darkness Ablaze
Swinub,Crimson Invasion
Roserade,Supreme Victors
Swinub,Legends Awakened
Pansage,Black & White
Palpitoad,Dark Explorers
Carnivine,Diamond & Pearl
Palpitoad,Plasma Freeze
Palpitoad,Rebel Clash
Carnivine,POP Series 8
Carnivine,Platinum
Carnivine,Shining Legends
Carnivine,Supreme Victors
Pancham,Furious Fists
Carnivine,Triumphant
Diglett,Secret Wonders
Rowlet,Cosmic Eclipse
Swinub,Neo Revelation
Rotom,POP Series 9
Rotom,Majestic Dawn
Panpour,Black & White
Carvanha δ,EX Holon Phantoms
Galvantula,Steam Siege
Rotom,Great Encounters
Roserade GL,Rising Rivals
Galvantula,Plasma Storm
Dark Gengar,Neo Destiny
Panpour,Next Destinies
Galvantula,Emerging Powers
Galvantula,Dark Explorers
Tauros,XY
Tangela,Call of Legends
Salandit,SM Black Star Promos
Noctowl,Diamond & Pearl
Giovanni's Nidoran ♂,Gym Challenge
Dark Omastar,Neo Destiny
Sabrina's Slowpoke,Gym Heroes
Noctowl,EX Unseen Forces
Noctowl,Neo Genesis
Dewott,Steam Siege
Team Aqua's Grimer,Double Crisis
Dark Magneton,Team Rocket
Girafarig,Vivid Voltage
Nuzleaf,EX Legend Maker
Giovanni's Machamp,Gym Challenge
Noibat,XY Trainer Kit (Noivern)
Nuzleaf,EX Deoxys
Bulbasaur,Shining Legends
Numel,Legends Awakened
Dewott,Legendary Treasures
Giovanni's Meowth,Gym Challenge
Giovanni's Nidoran ♀,Gym Challenge
Numel,EX Crystal Guardians
Salandit,Battle Academy (Charizard)
Shelgon,Secret Wonders
Bulbasaur,Dark Explorers
Shellder,BREAKpoint
Dark Raichu,Box Toppers (Legendary Collection)
Numel,Crimson Invasion
Octillery,EX Unseen Forces
Noctowl,HGSS Black Star Promos
Ninjask,Supreme Victors
Ninjask,Legends Awakened
Dark Jolteon,Team Rocket
Gible,POP Series 6
Sabrina's Kadabra,Gym Challenge
Dark Kadabra,Team Rocket
Gible,Unified Minds
Nosepass,Guardians Rising
Ninjask,Vivid Voltage
Dark Machamp,Team Rocket
Ninjask,Roaring Skies
Giovanni's Nidorina,Gym Challenge
Bunnelby,Crimson Invasion
Salandit,Ultra Prism
Seedot,Celestial Storm
Dark Machoke,Team Rocket
Dark Octillery,EX Team Rocket Returns
Buizel,Ultra Prism
Octillery,Mysterious Treasures
Durant,Lost Thunder
Karrablast,Unified Minds
Durant,Flashfire
Jolteon,Legendary Collection
Corsola,XY
Kadabra,Expedition Base Set
Dratini,Legends Awakened
Corphish,Legends Awakened
Dark Porygon2,Neo Destiny
Cottonee,Cosmic Eclipse
Corphish,EX Dragon
Dark Dugtrio,Team Rocket
Dratini,Plasma Freeze
Cubone,Dragons Exalted
Altaria,Dragon Majesty
Abra,Skyridge
Duosion,Plasma Blast
Dugtrio,Skyridge
Duosion,Noble Victories
Kingdra,Plasma Freeze
Diglett,Pokémon Rumble
Dark Octillery,Neo Destiny
Corsola,Expedition Base Set
Jolteon,Jungle
Dunsparce,BREAKpoint
Dunsparce,Darkness Ablaze
Dunsparce,HeartGold & SoulSilver
Dunsparce,Roaring Skies
Diglett,Team Rocket
Diglett,XY
Karrablast,Plasma Blast
Karrablast,Darkness Ablaze
Karrablast,Phantom Forces
Ditto,POP Series 3
Kirlia,Plasma Storm
Dedenne,Furious Fists
Corsola,HeartGold & SoulSilver
Ditto,Triumphant
Duosion,Legendary Treasures
Kangaskhan,Base Set 2
Dedenne,Darkness Ablaze
Crawdaunt ex,EX Holon Phantoms
Dark Quilava,Neo Destiny
Klink,Plasma Storm
Darumaka,BW Black Star Promos
Klink,Dark Explorers
Darumaka,Black & White
Dodrio,Undaunted
Jigglypuff,XY
Alolan Sandshrew,Cosmic Eclipse
Klink,McDonald's Collection 2011
Jigglypuff,Unbroken Bonds
Jigglypuff,SM Trainer Kit (Alolan Ninetales)
Jigglypuff,Next Destinies
Kakuna,Team Up
Jigglypuff,Jungle
Jigglypuff,HeartGold & SoulSilver
Cryogonal,Boundaries Crossed
Jigglypuff,Great Encounters
Kecleon,EX Sandstorm
Doduo,Aquapolis
Jigglypuff,Fates Collide
Darumaka,Next Destinies
Doduo,Unbroken Bonds
Kakuna,Vivid Voltage
Kakuna,Primal Clash
Dodrio,EX FireRed & LeafGreen
Cubchoo,Next Destinies
Kakuna,Base Set
Kakuna,Base Set 2
Cool Porygon,Wizards Black Star Promos
Dratini,EX Team Rocket Returns
Dratini,Dragon Vault
Cubone,Crimson Invasion
Jirachi,Rising Rivals
Alolan Rattata,Celestial Storm
Alolan Rattata,Sun & Moon
Alolan Vulpix,Guardians Rising
Klefki,Roaring Skies
Jirachi,EX Team Magma vs Team Aqua
Dark Exeggutor,Neo Destiny
Kakuna,Evolutions
Kakuna,Legendary Collection
Dark Flaaffy,EX Team Rocket Returns
Jirachi,EX Deoxys
Klefki,Forbidden Light
Klefki,Phantom Forces
Cubchoo,Lost Thunder
Jolteon,POP Series 3
Alolan Exeggutor,Forbidden Light
Cubone,EX Team Magma vs Team Aqua
Croagunk,Supreme Victors
Drifloon,Supreme Victors
Dragonair,Expedition Base Set
Dewpider,Unified Minds
Dark Slowking,EX Team Rocket Returns
Alolan Vulpix,SM Trainer Kit (Alolan Ninetales)
Drilbur,Unified Minds
Aipom,Aquapolis
Aipom,Cosmic Eclipse
Drowzee,Aquapolis
Croagunk,POP Series 8
Drowzee,EX Delta Species
Drowzee,Furious Fists
Croagunk,Mysterious Treasures
Cyndaquil,Call of Legends
Alolan Marowak,Forbidden Light
Drowzee,Great Encounters
Alolan Marowak,Team Up
Drowzee,HeartGold & SoulSilver
Drowzee,SM Trainer Kit (Alolan Raichu)
Jynx,Neo Revelation
Jynx,Legendary Collection
Drowzee,Sun & Moon
Jynx,HeartGold & SoulSilver
Alolan Meowth,Cosmic Eclipse
Kabuto,EX Legend Maker
Drifloon,Majestic Dawn
Deino,Steam Siege
Delibird,POP Series 7
Dark Hypno,Team Rocket
Dark Wigglytuff,Neo Destiny
Dark Hypno,EX Team Rocket Returns
Alolan Geodude,Crimson Invasion
Dratini,Triumphant
Cyndaquil,Neo Genesis
Dratini,Roaring Skies
Kabuto,Majestic Dawn
Dark Weezing,Team Rocket
Dark Haunter,Neo Destiny
Cyndaquil,Mysterious Treasures
Alolan Grimer,Cosmic Eclipse
Kabuto,EX Power Keepers
Delibird,Great Encounters
Kabuto,EX Sandstorm
Delibird,Skyridge
Drifloon,Dragons Exalted
Alolan Grimer,Team Up
Cyndaquil,HeartGold & SoulSilver
Drifloon,Legends Awakened
Croagunk,Boundaries Crossed
Croagunk,Burning Shadows
Croagunk,Legendary Treasures
Aerodactyl,Skyridge
Kirlia,Cosmic Eclipse
Alolan Meowth,SM Black Star Promos
Ducklett,XY Trainer Kit (Suicune)
Deerling,Black & White
Keldeo,Shining Legends
Cubone,Legends Awakened
Crobat,EX Hidden Legends
Dark Celebi,EX Hidden Legends
Alolan Exeggutor,McDonald's Collection 2019
Deoxys Normal Forme,Legends Awakened
Alolan Vulpix,Lost Thunder
Crobat,Neo Revelation
Diglett,Darkness Ablaze
Deoxys δ,POP Series 4
Deerling,Cosmic Eclipse
Absol,EX Dragon
Ducklett,Darkness Ablaze
Dark Croconaw,Neo Destiny
Kabuto δ,EX Holon Phantoms
Diglett,EX Crystal Guardians
Diglett,Generations
Dedenne,Unified Minds
Dark Dragonair,Legendary Collection
Dark Dragonair,Team Rocket
Diglett,Platinum
Alolan Vulpix,Hidden Fates
Ducklett,Emerging Powers
Dark Muk,Team Rocket
Kirlia,EX Delta Species
Ducklett,Dark Explorers
Jynx,Expedition Base Set
Jumpluff,Lost Thunder
Jynx,Base Set 2
Aipom,Neo Revelation
Jynx,Base Set
Jynx,Aquapolis
Cufant,Sword & Shield
Jumpluff,Steam Siege
Alolan Vulpix,McDonald's Collection 2018 (French)
Jumpluff,Neo Genesis
Kangaskhan,Jungle
Deino,Phantom Forces
Cubone,Unified Minds
Cubone,Triumphant
Ducklett,Boundaries Crossed
Jumpluff,Dragons Exalted
Deino,Noble Victories
Cubone,McDonald's Collection 2018
Joltik,Vivid Voltage
Kangaskhan,Plasma Blast
Joltik,Phantom Forces
Joltik,Dark Explorers
Aipom,Steam Siege
Ducklett,BREAKpoint
Dark Magcargo,Neo Destiny
Doduo,Supreme Victors
Crobat,Box Toppers (e-Card Series)
Grovyle,Celestial Storm
Jigglypuff,Darkness Ablaze
Baltoy,Great Encounters
Bunnelby,McDonald's Collection 2014
Bunnelby,XY Trainer Kit (Noivern)
Heracross,EX Team Rocket Returns
Burmy Plant Cloak,Arceus
Burmy Sandy Cloak,Arceus
Burmy Trash Cloak,Arceus
Gastly,Unbroken Bonds
Gastly,Sword & Shield
Gastly,Evolutions
Gastly,Arceus
Baltoy,Supreme Victors
Butterfree,Neo Discovery
Cacnea,Great Encounters
Bunnelby,Kalos Starter Set
Baltoy,EX Power Keepers
Baltoy,EX Holon Phantoms
Baltoy,EX Hidden Legends
Cacturne,EX Power Keepers
Cacturne,Platinum
Carbink BREAK,Fates Collide
Carnivine,Legendary Treasures
Baltoy,Celestial Storm
Baltoy,Ancient Origins
Carnivine,Unleashed
Carnivine G,DP Black Star Promos
Carvanha,EX Power Keepers
Helioptile,Forbidden Light
Bunnelby,Forbidden Light
Floette,XY Black Star Promos
Bulbasaur,POP Series 2
Bulbasaur,Base Set
Bulbasaur,Base Set 2
Girafarig,Neo Genesis
Bulbasaur,EX Crystal Guardians
Bulbasaur,EX FireRed & LeafGreen
Bulbasaur,Expedition Base Set
Girafarig,Mysterious Treasures
Bulbasaur,Legendary Collection
Girafarig,HeartGold & SoulSilver
Girafarig,EX Legend Maker
Giovanni's Persian,Gym Challenge
Giovanni's Nidorino,Gym Challenge
Bayleef δ,EX Dragon Frontiers
Bunnelby,Darkness Ablaze
Giovanni's Machop,Gym Challenge
Bulbasaur,Supreme Victors
Buneary,Boundaries Crossed
Buneary,Legends Awakened
Buneary,Supreme Victors
Basculin,Unified Minds
Gible,Ultra Prism
Gible,Legendary Treasures
Gible,Dragons Exalted
Geodude,Neo Revelation
Barboach,Guardians Rising
Barboach,EX Dragon
Carvanha,Plasma Storm
Carvanha,Secret Wonders
Carvanha,Sun & Moon
Frogadier,Hidden Fates
Celebi,Nintendo Black Star Promos
Ho-Oh,HGSS Black Star Promos
Celebi,Skyridge
Azelf,Legends Awakened
Celebi,Unified Minds
Axew,Unified Minds
Axew,Plasma Blast
Celebi,Wizards Black Star Promos
Furfrou,Forbidden Light
Ho-Oh,Secret Wonders
Frogadier,Unbroken Bonds
Celebi ◇,Lost Thunder
Frogadier,Forbidden Light
Bagon,Plasma Blast
Froakie,XY Black Star Promos
Froakie,McDonald's Collection 2014
Froakie,Kalos Starter Set
Froakie,Hidden Fates
Froakie,Forbidden Light
Frillish,Noble Victories
Ho-Oh-EX,Dragons Exalted
Forretress,POP Series 3
Chandelure,Lost Thunder
Forretress,Flashfire
Foongus,Noble Victories
Fomantis,Sun & Moon
Furret,EX Legend Maker
Furret,HeartGold & SoulSilver
Gabite,BREAKpoint
Caterpie,Sun & Moon
Bagon,EX Trainer Kit (Latias)
Galvantula,Vivid Voltage
Bagon,EX Dragon
Bagon,Dragon Vault
Bagon,Dragon Majesty
Cascoon,Diamond & Pearl
Cascoon,Dragons Exalted
Cascoon,EX Legend Maker
Galarian Ponyta,SWSH Black Star Promos
Cascoon,Platinum
Galarian Mr. Rime,Darkness Ablaze
Galarian Mr. Mime,Rebel Clash
Galarian Meowth,Vivid Voltage
Galarian Meowth,Rebel Clash
Azumarill,EX Team Rocket Returns
Hitmontop,Aquapolis
Galarian Darumaka,Darkness Ablaze
Castform,EX Hidden Legends
Caterpie,Burning Shadows
Caterpie,Great Encounters
Caterpie,HeartGold & SoulSilver
Caterpie,McDonald's Collection 2019
Ho-Oh,EX Unseen Forces
Caterpie,Neo Discovery
Caterpie,SM Trainer Kit (Lycanroc)
Buizel,Supreme Victors
Bruxish,Lost Thunder
Bronzor,Ultra Prism
Goomy,Phantom Forces
Gothorita,Legendary Treasures
Grubbin,Sun & Moon
Bidoof,Supreme Victors
Bidoof,Primal Clash
Blipbug,Sword & Shield
Bidoof,Dragons Exalted
Blissey,Mysterious Treasures
Gothita,Legendary Treasures
Gothita,Fates Collide
Gothita,Emerging Powers
Gothita,Boundaries Crossed
Gorebyss,EX Hidden Legends
Goomy,McDonald's Collection 2018 (French)
Blitzle,Vivid Voltage
Goomy,Guardians Rising
Goomy,Flashfire
Grumpig,Legends Awakened
Gulpin,Arceus
Gulpin,EX Emerald
Blitzle,BREAKpoint
Bergmite,Steam Siege
Blitzle,Battle Academy (Pikachu)
Blitzle,Black & White
